X,Y,RedChiSq,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Amp9,Amp10,Wvl1,Wvl2,Wvl3,Wvl4,Wvl5,Wvl6,Wvl7,Wvl8,Wvl9,Wvl10,Sig1,Sig2,Sig3,Sig4,Sig5,Sig6,Sig7,Sig8,Sig9,Sig10
1, 11, 1.0061, 0.0, 102.1124, 202.5955, 454.2096, 0.0, 306.3371, 14.6432, 117.6738, 43.3271, 67.5383,6553.6747, 6552.7547, 6568.4384, 6567.5163, 6589.1051, 6588.1802, 6722.2094, 6721.2657, 6736.6017, 6735.656,0.936, 1.6178, 0.936, 1.6178, 0.936, 1.6178, 0.936, 1.6178, 0.936, 1.6178
1, 12, 1.2858, 95.422, 0.0, 489.9185, 127.6252, 286.2661, 0.0, 101.591, 10.8581, 77.2943, 0.0,6552.9534, 6553.9918, 6567.7154, 6568.7562, 6588.3799, 6589.4239, 6721.4695, 6722.5346, 6735.8603, 6736.9276,1.6009, 0.936, 1.6009, 0.936, 1.6009, 0.936, 1.6009, 0.936, 1.6009, 0.936
1, 13, 1.8432, 9.525, 89.4667, 4.095, 611.2795, 28.575, 268.4, 11.3281, 110.8764, 7.4981, 82.7406,6557.6315, 6553.0367, 6572.4041, 6567.7989, 6593.0833, 6588.4636, 6726.2679, 6721.5549, 6740.6689, 6735.9459,0.936, 1.5526, 0.936, 1.5526, 0.936, 1.5526, 0.936, 1.5526, 0.936, 1.5526
1, 14, 0.7585, 79.4584, 42.5684, 581.4287, 257.754, 238.3753, 127.7053, 117.0721, 52.7586, 44.4322, 56.775,6553.6499, 6551.6047, 6568.4135, 6566.3637, 6589.0802, 6587.0239, 6722.1839, 6720.0861, 6736.5762, 6734.4739,1.1456, 1.1929, 1.1456, 1.1929, 1.1456, 1.1929, 1.1456, 1.1929, 1.1456, 1.1929
1, 15, 1.2723, 9.7047, 72.4612, 0.0, 634.9228, 29.1141, 217.3837, 35.1411, 65.8681, 9.6511, 65.966,6553.4867, 6552.9878, 6568.25, 6567.7499, 6588.9161, 6588.4145, 6722.0165, 6721.5048, 6736.4085, 6735.8956,3.0245, 1.5031, 3.0245, 1.5031, 3.0245, 1.5031, 3.0245, 1.5031, 3.0245, 1.5031
1, 16, 1.0966, 81.3507, 9.6185, 510.916, 195.3503, 244.052, 28.8554, 103.126, 17.3547, 75.1298, 8.0964,6552.6609, 6553.6282, 6567.4222, 6568.3917, 6588.0858, 6589.0583, 6721.1694, 6722.1616, 6735.5596, 6736.5539,1.6158, 0.936, 1.6158, 0.936, 1.6158, 0.936, 1.6158, 0.936, 1.6158, 0.936
1, 17, 0.937, 4.9176, 82.8946, 0.0, 644.0491, 14.7528, 248.6838, 24.8763, 113.7326, 5.6666, 93.7417,6557.2444, 6552.8262, 6572.0161, 6567.588, 6592.6941, 6588.252, 6725.8708, 6721.339, 6740.271, 6735.7295,1.1466, 1.5248, 1.1466, 1.5248, 1.1466, 1.5248, 1.1466, 1.5248, 1.1466, 1.5248
1, 18, 0.5756, 4.8686, 80.7452, 0.0, 585.1645, 14.6058, 242.2355, 24.3224, 101.0468, 2.168, 79.165,6557.1591, 6552.8456, 6571.9306, 6567.6074, 6592.6083, 6588.2716, 6725.7833, 6721.3589, 6740.1834, 6735.7495,1.5757, 1.6047, 1.5757, 1.6047, 1.5757, 1.6047, 1.5757, 1.6047, 1.5757, 1.6047
1, 19, 1.0456, 6.0385, 83.3321, 0.0, 583.9579, 18.1154, 249.9962, 18.786, 103.825, 0.0, 63.7801,6555.3126, 6552.7151, 6570.0799, 6567.4766, 6590.7518, 6588.1403, 6723.8893, 6721.2251, 6738.2853, 6735.6153,2.1344, 1.5699, 2.1344, 1.5699, 2.1344, 1.5699, 2.1344, 1.5699, 2.1344, 1.5699
1, 20, 0.8001, 13.9147, 80.2309, 28.7625, 592.7196, 41.744, 240.6928, 11.6293, 113.3928, 16.6433, 70.5351,6554.8983, 6552.6269, 6569.6647, 6567.3882, 6590.3353, 6588.0516, 6723.4644, 6721.1346, 6737.8594, 6735.5246,2.0209, 1.4959, 2.0209, 1.4959, 2.0209, 1.4959, 2.0209, 1.4959, 2.0209, 1.4959
1, 21, 0.9592, 0.0, 92.1476, 0.0, 637.1941, 0.0, 276.4427, 18.6097, 113.7154, 0.0, 84.8246,6553.1411, 6552.7714, 6567.9036, 6567.533, 6588.5686, 6588.1969, 6721.662, 6721.2828, 6736.0532, 6735.6732,3.9058, 1.503, 3.9058, 1.503, 3.9058, 1.503, 3.9058, 1.503, 3.9058, 1.503
1, 22, 1.4657, 5.9478, 88.9662, 0.0, 665.1605, 17.8435, 266.8986, 10.4205, 108.743, 23.3992, 51.565,6553.9614, 6552.6861, 6568.7258, 6567.4476, 6589.3934, 6588.1112, 6722.5035, 6721.1953, 6736.8964, 6735.5855,2.9313, 1.4467, 2.9313, 1.4467, 2.9313, 1.4467, 2.9313, 1.4467, 2.9313, 1.4467
